Linea 1: 30, 71 -> 7 | 7 = 77
Linea 2: 17, 17 -> 9 | 7 = 97
Linea 3: 57, 80 -> 8 | 6 = 86
Linea 4: 70, 72 -> 8 | 6 = 86
Linea 5: 85, 98 -> 8 | 6 = 86
Linea 6: 50, 92 -> 9 | 9 = 99
Linea 7: 31, 51 -> 8 | 8 = 88
Linea 8: 33, 42 -> 9 | 9 = 99
Linea 9: 13, 86 -> 9 | 9 = 99
Linea 10: 10, 46 -> 9 | 8 = 98
Linea 11: 59, 73 -> 6 | 6 = 66
Linea 12: 56, 74 -> 8 | 8 = 88
Linea 13: 16, 91 -> 8 | 8 = 88
Linea 14: 1, 46 -> 9 | 9 = 99
Linea 15: 13, 57 -> 7 | 7 = 77
Linea 16: 57, 85 -> 7 | 7 = 77
Linea 17: 3, 98 -> 8 | 9 = 89
Linea 18: 75, 96 -> 8 | 7 = 87
Linea 19: 37, 54 -> 9 | 7 = 97
Linea 20: 24, 47 -> 9 | 9 = 99
Linea 21: 62, 97 -> 9 | 6 = 96
Linea 22: 8, 18 -> 9 | 9 = 99
Linea 23: 20, 97 -> 9 | 8 = 98
Linea 24: 11, 24 -> 6 | 4 = 64
Linea 25: 2, 7 -> 8 | 8 = 88
Linea 26: 83, 86 -> 9 | 6 = 96
Linea 27: 23, 36 -> 6 | 4 = 64
Linea 28: 14, 32 -> 7 | 7 = 77
Linea 29: 33, 78 -> 9 | 9 = 99
Linea 30: 3, 21 -> 9 | 9 = 99
Linea 31: 13, 40 -> 8 | 5 = 85
Linea 32: 69, 69 -> 9 | 9 = 99
Linea 33: 72, 72 -> 9 | 7 = 97
Linea 34: 0, 86 -> 7 | 6 = 76
Linea 35: 94, 94 -> 9 | 4 = 94
Linea 36: 40, 55 -> 9 | 9 = 99
Linea 37: 17, 34 -> 9 | 9 = 99
Linea 38: 49, 88 -> 9 | 9 = 99
Linea 39: 30, 34 -> 7 | 6 = 76
Linea 40: 41, 42 -> 9 | 7 = 97
Linea 41: 33, 47 -> 9 | 5 = 95
Linea 42: 44, 63 -> 9 | 9 = 99
Linea 43: 20, 31 -> 5 | 5 = 55
Linea 44: 49, 59 -> 8 | 8 = 88
Linea 45: 91, 91 -> 8 | 5 = 85
Linea 46: 34, 41 -> 9 | 8 = 98
Linea 47: 76, 88 -> 7 | 3 = 73
Linea 48: 68, 92 -> 9 | 9 = 99
Linea 49: 97, 97 -> 7 | 3 = 73
Linea 50: 14, 24 -> 9 | 9 = 99
Linea 51: 71, 86 -> 9 | 7 = 97
Linea 52: 52, 83 -> 9 | 9 = 99
Linea 53: 22, 30 -> 8 | 8 = 88
Linea 54: 21, 66 -> 8 | 8 = 88
Linea 55: 9, 9 -> 4 | 4 = 44
Linea 56: 69, 85 -> 9 | 8 = 98
